date,time,fuel_type,mw,fuel_percentage_of_total,is_renewable
10/23/2025,4:00:00 PM,Coal,12460,0.142,FALSE
10/23/2025,4:00:00 PM,Gas,33698,0.384,FALSE
10/23/2025,4:00:00 PM,Hydro,232,0.002,TRUE
10/23/2025,4:00:00 PM,Multiple Fuels,867,0.009,FALSE
10/23/2025,4:00:00 PM,Nuclear,25570,0.291,FALSE
10/23/2025,4:00:00 PM,Oil,565,0.006,FALSE
10/23/2025,4:00:00 PM,Other Renewables,496,0.005,TRUE
10/23/2025,4:00:00 PM,Solar,8704,0.099,TRUE
10/23/2025,4:00:00 PM,Storage,0,0,FALSE
10/23/2025,4:00:00 PM,Wind,5035,0.057,TRUE
10/23/2025,3:00:00 PM,Coal,12838,0.146,FALSE
10/23/2025,3:00:00 PM,Gas,34606,0.393,FALSE
10/23/2025,3:00:00 PM,Hydro,233,0.002,TRUE
10/23/2025,3:00:00 PM,Multiple Fuels,923,0.01,FALSE
10/23/2025,3:00:00 PM,Nuclear,25579,0.291,FALSE
10/23/2025,3:00:00 PM,Oil,523,0.006,FALSE
10/23/2025,3:00:00 PM,Other Renewables,494,0.005,TRUE
10/23/2025,3:00:00 PM,Solar,9261,0.105,TRUE
10/23/2025,3:00:00 PM,Storage,0,0,FALSE
10/23/2025,3:00:00 PM,Wind,3423,0.039,TRUE
10/23/2025,2:00:00 PM,Coal,13056,0.146,FALSE
10/23/2025,2:00:00 PM,Gas,35540,0.399,FALSE
10/23/2025,2:00:00 PM,Hydro,240,0.002,TRUE
10/23/2025,2:00:00 PM,Multiple Fuels,1148,0.012,FALSE
10/23/2025,2:00:00 PM,Nuclear,25589,0.287,FALSE
10/23/2025,2:00:00 PM,Oil,450,0.005,FALSE
10/23/2025,2:00:00 PM,Other Renewables,485,0.005,TRUE
10/23/2025,2:00:00 PM,Solar,9389,0.105,TRUE
10/23/2025,2:00:00 PM,Storage,0,0,FALSE
10/23/2025,2:00:00 PM,Wind,2985,0.033,TRUE
10/23/2025,1:00:00 PM,Coal,13516,0.149,FALSE
10/23/2025,1:00:00 PM,Gas,36776,0.407,FALSE
10/23/2025,1:00:00 PM,Hydro,859,0.009,TRUE
10/23/2025,1:00:00 PM,Multiple Fuels,1375,0.015,FALSE
10/23/2025,1:00:00 PM,Nuclear,25588,0.283,FALSE
10/23/2025,1:00:00 PM,Oil,665,0.007,FALSE
10/23/2025,1:00:00 PM,Other Renewables,481,0.005,TRUE
10/23/2025,1:00:00 PM,Solar,6831,0.075,TRUE
10/23/2025,1:00:00 PM,Storage,0,0,FALSE
10/23/2025,1:00:00 PM,Wind,4150,0.046,TRUE
10/23/2025,12:00:00 PM,Coal,13716,0.151,FALSE
10/23/2025,12:00:00 PM,Gas,38913,0.429,FALSE
10/23/2025,12:00:00 PM,Hydro,2341,0.025,TRUE
10/23/2025,12:00:00 PM,Multiple Fuels,1368,0.015,FALSE
10/23/2025,12:00:00 PM,Nuclear,25594,0.282,FALSE
10/23/2025,12:00:00 PM,Oil,1343,0.014,FALSE
10/23/2025,12:00:00 PM,Other Renewables,496,0.005,TRUE
10/23/2025,12:00:00 PM,Solar,1931,0.021,TRUE
10/23/2025,12:00:00 PM,Storage,1,0,FALSE
10/23/2025,12:00:00 PM,Wind,4916,0.054,TRUE
10/23/2025,11:00:00 AM,Coal,13221,0.15,FALSE
10/23/2025,11:00:00 AM,Gas,38284,0.434,FALSE
10/23/2025,11:00:00 AM,Hydro,3054,0.034,TRUE
10/23/2025,11:00:00 AM,Multiple Fuels,1162,0.013,FALSE
10/23/2025,11:00:00 AM,Nuclear,25593,0.29,FALSE
10/23/2025,11:00:00 AM,Oil,1381,0.015,FALSE
10/23/2025,11:00:00 AM,Other Renewables,503,0.005,TRUE
10/23/2025,11:00:00 AM,Solar,44,0,TRUE
10/23/2025,11:00:00 AM,Storage,10,0,FALSE
10/23/2025,11:00:00 AM,Wind,4854,0.055,TRUE
10/23/2025,10:00:00 AM,Coal,12281,0.147,FALSE
10/23/2025,10:00:00 AM,Gas,35437,0.425,FALSE
10/23/2025,10:00:00 AM,Hydro,2286,0.027,TRUE
10/23/2025,10:00:00 AM,Multiple Fuels,995,0.011,FALSE
10/23/2025,10:00:00 AM,Nuclear,25594,0.307,FALSE
10/23/2025,10:00:00 AM,Oil,1327,0.015,FALSE
10/23/2025,10:00:00 AM,Other Renewables,510,0.006,TRUE
10/23/2025,10:00:00 AM,Solar,8,0,TRUE
10/23/2025,10:00:00 AM,Storage,15,0,FALSE
10/23/2025,10:00:00 AM,Wind,4894,0.058,TRUE
10/23/2025,9:00:00 AM,Coal,11641,0.149,FALSE
10/23/2025,9:00:00 AM,Gas,33388,0.428,FALSE
10/23/2025,9:00:00 AM,Hydro,688,0.008,TRUE
10/23/2025,9:00:00 AM,Multiple Fuels,855,0.011,FALSE
10/23/2025,9:00:00 AM,Nuclear,25600,0.328,FALSE
10/23/2025,9:00:00 AM,Oil,376,0.004,FALSE
10/23/2025,9:00:00 AM,Other Renewables,513,0.006,TRUE
10/23/2025,9:00:00 AM,Solar,8,0,TRUE
10/23/2025,9:00:00 AM,Storage,0,0,FALSE
10/23/2025,9:00:00 AM,Wind,4909,0.063,TRUE
10/23/2025,8:00:00 AM,Coal,11602,0.152,FALSE
10/23/2025,8:00:00 AM,Gas,32312,0.425,FALSE
10/23/2025,8:00:00 AM,Hydro,230,0.003,TRUE
10/23/2025,8:00:00 AM,Multiple Fuels,840,0.011,FALSE
10/23/2025,8:00:00 AM,Nuclear,25593,0.336,FALSE
10/23/2025,8:00:00 AM,Oil,178,0.002,FALSE
10/23/2025,8:00:00 AM,Other Renewables,505,0.006,TRUE
10/23/2025,8:00:00 AM,Solar,8,0,TRUE
10/23/2025,8:00:00 AM,Storage,0,0,FALSE
10/23/2025,8:00:00 AM,Wind,4706,0.061,TRUE
10/23/2025,7:00:00 AM,Coal,11723,0.153,FALSE
10/23/2025,7:00:00 AM,Gas,32566,0.426,FALSE
10/23/2025,7:00:00 AM,Hydro,217,0.002,TRUE
10/23/2025,7:00:00 AM,Multiple Fuels,892,0.011,FALSE
10/23/2025,7:00:00 AM,Nuclear,25591,0.334,FALSE
10/23/2025,7:00:00 AM,Oil,179,0.002,FALSE
10/23/2025,7:00:00 AM,Other Renewables,499,0.006,TRUE
10/23/2025,7:00:00 AM,Solar,8,0,TRUE
10/23/2025,7:00:00 AM,Storage,0,0,FALSE
10/23/2025,7:00:00 AM,Wind,4750,0.062,TRUE
10/23/2025,6:00:00 AM,Coal,11849,0.154,FALSE
10/23/2025,6:00:00 AM,Gas,32695,0.425,FALSE
10/23/2025,6:00:00 AM,Hydro,213,0.002,TRUE
10/23/2025,6:00:00 AM,Multiple Fuels,918,0.012,FALSE
10/23/2025,6:00:00 AM,Nuclear,25586,0.333,FALSE
10/23/2025,6:00:00 AM,Oil,178,0.002,FALSE
10/23/2025,6:00:00 AM,Other Renewables,506,0.006,TRUE
10/23/2025,6:00:00 AM,Solar,8,0,TRUE
10/23/2025,6:00:00 AM,Storage,0,0,FALSE
10/23/2025,6:00:00 AM,Wind,4840,0.063,TRUE
10/23/2025,5:00:00 AM,Coal,12066,0.155,FALSE
10/23/2025,5:00:00 AM,Gas,33043,0.426,FALSE
10/23/2025,5:00:00 AM,Hydro,212,0.002,TRUE
10/23/2025,5:00:00 AM,Multiple Fuels,1048,0.013,FALSE
10/23/2025,5:00:00 AM,Nuclear,25585,0.33,FALSE
10/23/2025,5:00:00 AM,Oil,178,0.002,FALSE
10/23/2025,5:00:00 AM,Other Renewables,519,0.006,TRUE
10/23/2025,5:00:00 AM,Solar,8,0,TRUE
10/23/2025,5:00:00 AM,Storage,0,0,FALSE
10/23/2025,5:00:00 AM,Wind,4870,0.062,TRUE
10/23/2025,4:00:00 AM,Coal,12513,0.158,FALSE
10/23/2025,4:00:00 AM,Gas,33630,0.426,FALSE
10/23/2025,4:00:00 AM,Hydro,213,0.002,TRUE
10/23/2025,4:00:00 AM,Multiple Fuels,1281,0.016,FALSE
10/23/2025,4:00:00 AM,Nuclear,25581,0.324,FALSE
10/23/2025,4:00:00 AM,Oil,177,0.002,FALSE
10/23/2025,4:00:00 AM,Other Renewables,510,0.006,TRUE
10/23/2025,4:00:00 AM,Solar,8,0,TRUE
10/23/2025,4:00:00 AM,Storage,0,0,FALSE
10/23/2025,4:00:00 AM,Wind,4997,0.063,TRUE
10/23/2025,3:00:00 AM,Coal,12912,0.16,FALSE
10/23/2025,3:00:00 AM,Gas,34543,0.428,FALSE
10/23/2025,3:00:00 AM,Hydro,330,0.004,TRUE
10/23/2025,3:00:00 AM,Multiple Fuels,1387,0.017,FALSE
10/23/2025,3:00:00 AM,Nuclear,25571,0.317,FALSE
10/23/2025,3:00:00 AM,Oil,219,0.002,FALSE
10/23/2025,3:00:00 AM,Other Renewables,503,0.006,TRUE
10/23/2025,3:00:00 AM,Solar,8,0,TRUE
10/23/2025,3:00:00 AM,Storage,0,0,FALSE
10/23/2025,3:00:00 AM,Wind,5095,0.063,TRUE
10/23/2025,2:00:00 AM,Coal,13108,0.157,FALSE
10/23/2025,2:00:00 AM,Gas,36144,0.433,FALSE
10/23/2025,2:00:00 AM,Hydro,736,0.008,TRUE
10/23/2025,2:00:00 AM,Multiple Fuels,1395,0.016,FALSE
10/23/2025,2:00:00 AM,Nuclear,25563,0.306,FALSE
10/23/2025,2:00:00 AM,Oil,402,0.004,FALSE
10/23/2025,2:00:00 AM,Other Renewables,493,0.005,TRUE
10/23/2025,2:00:00 AM,Solar,8,0,TRUE
10/23/2025,2:00:00 AM,Storage,0,0,FALSE
10/23/2025,2:00:00 AM,Wind,5494,0.065,TRUE
10/23/2025,1:00:00 AM,Coal,13183,0.15,FALSE
10/23/2025,1:00:00 AM,Gas,38461,0.438,FALSE
10/23/2025,1:00:00 AM,Hydro,1607,0.018,TRUE
10/23/2025,1:00:00 AM,Multiple Fuels,1556,0.017,FALSE
10/23/2025,1:00:00 AM,Nuclear,25553,0.291,FALSE
10/23/2025,1:00:00 AM,Oil,1345,0.015,FALSE
10/23/2025,1:00:00 AM,Other Renewables,480,0.005,TRUE
10/23/2025,1:00:00 AM,Solar,8,0,TRUE
10/23/2025,1:00:00 AM,Storage,0,0,FALSE
10/23/2025,1:00:00 AM,Wind,5535,0.063,TRUE
10/23/2025,12:00:00 AM,Coal,12941,0.143,FALSE
10/23/2025,12:00:00 AM,Gas,39382,0.438,FALSE
10/23/2025,12:00:00 AM,Hydro,2638,0.029,TRUE
10/23/2025,12:00:00 AM,Multiple Fuels,1642,0.018,FALSE
10/23/2025,12:00:00 AM,Nuclear,25555,0.284,FALSE
10/23/2025,12:00:00 AM,Oil,1847,0.02,FALSE
10/23/2025,12:00:00 AM,Other Renewables,481,0.005,TRUE
10/23/2025,12:00:00 AM,Solar,8,0,TRUE
10/23/2025,12:00:00 AM,Storage,15,0,FALSE
10/23/2025,12:00:00 AM,Wind,5407,0.06,TRUE
10/22/2025,11:00:00 PM,Coal,12867,0.141,FALSE
10/22/2025,11:00:00 PM,Gas,40064,0.439,FALSE
10/22/2025,11:00:00 PM,Hydro,3185,0.034,TRUE
10/22/2025,11:00:00 PM,Multiple Fuels,1723,0.018,FALSE
10/22/2025,11:00:00 PM,Nuclear,25559,0.28,FALSE
10/22/2025,11:00:00 PM,Oil,1654,0.018,FALSE
10/22/2025,11:00:00 PM,Other Renewables,482,0.005,TRUE
10/22/2025,11:00:00 PM,Solar,17,0,TRUE
10/22/2025,11:00:00 PM,Storage,19,0,FALSE
10/22/2025,11:00:00 PM,Wind,5691,0.062,TRUE
10/22/2025,10:00:00 PM,Coal,12253,0.136,FALSE
10/22/2025,10:00:00 PM,Gas,38408,0.427,FALSE
10/22/2025,10:00:00 PM,Hydro,3293,0.036,TRUE
10/22/2025,10:00:00 PM,Multiple Fuels,1607,0.017,FALSE
10/22/2025,10:00:00 PM,Nuclear,25553,0.284,FALSE
10/22/2025,10:00:00 PM,Oil,1409,0.015,FALSE
10/22/2025,10:00:00 PM,Other Renewables,487,0.005,TRUE
10/22/2025,10:00:00 PM,Solar,164,0.001,TRUE
10/22/2025,10:00:00 PM,Storage,19,0,FALSE
10/22/2025,10:00:00 PM,Wind,6695,0.074,TRUE
10/22/2025,9:00:00 PM,Coal,11557,0.131,FALSE
10/22/2025,9:00:00 PM,Gas,35416,0.404,FALSE
10/22/2025,9:00:00 PM,Hydro,2336,0.026,TRUE
10/22/2025,9:00:00 PM,Multiple Fuels,1399,0.016,FALSE
10/22/2025,9:00:00 PM,Nuclear,25548,0.291,FALSE
10/22/2025,9:00:00 PM,Oil,1023,0.011,FALSE
10/22/2025,9:00:00 PM,Other Renewables,487,0.005,TRUE
10/22/2025,9:00:00 PM,Solar,2166,0.024,TRUE
10/22/2025,9:00:00 PM,Storage,6,0,FALSE
10/22/2025,9:00:00 PM,Wind,7662,0.087,TRUE
10/22/2025,8:00:00 PM,Coal,11537,0.133,FALSE
10/22/2025,8:00:00 PM,Gas,32742,0.377,FALSE
10/22/2025,8:00:00 PM,Hydro,1483,0.017,TRUE
10/22/2025,8:00:00 PM,Multiple Fuels,1399,0.016,FALSE
10/22/2025,8:00:00 PM,Nuclear,25548,0.294,FALSE
10/22/2025,8:00:00 PM,Oil,345,0.004,FALSE
10/22/2025,8:00:00 PM,Other Renewables,486,0.005,TRUE
10/22/2025,8:00:00 PM,Solar,4894,0.056,TRUE
10/22/2025,8:00:00 PM,Storage,0,0,FALSE
10/22/2025,8:00:00 PM,Wind,8214,0.094,TRUE
10/22/2025,7:00:00 PM,Coal,11534,0.133,FALSE
10/22/2025,7:00:00 PM,Gas,31820,0.368,FALSE
10/22/2025,7:00:00 PM,Hydro,351,0.004,TRUE
10/22/2025,7:00:00 PM,Multiple Fuels,1509,0.017,FALSE
10/22/2025,7:00:00 PM,Nuclear,25548,0.295,FALSE
10/22/2025,7:00:00 PM,Oil,344,0.004,FALSE
10/22/2025,7:00:00 PM,Other Renewables,473,0.005,TRUE
10/22/2025,7:00:00 PM,Solar,6523,0.075,TRUE
10/22/2025,7:00:00 PM,Storage,0,0,FALSE
10/22/2025,7:00:00 PM,Wind,8309,0.096,TRUE
10/22/2025,6:00:00 PM,Coal,11729,0.134,FALSE
10/22/2025,6:00:00 PM,Gas,32156,0.369,FALSE
10/22/2025,6:00:00 PM,Hydro,215,0.002,TRUE
10/22/2025,6:00:00 PM,Multiple Fuels,1660,0.019,FALSE
10/22/2025,6:00:00 PM,Nuclear,25550,0.293,FALSE
10/22/2025,6:00:00 PM,Oil,352,0.004,FALSE
10/22/2025,6:00:00 PM,Other Renewables,478,0.005,TRUE
10/22/2025,6:00:00 PM,Solar,6428,0.073,TRUE
10/22/2025,6:00:00 PM,Storage,0,0,FALSE
10/22/2025,6:00:00 PM,Wind,8441,0.097,TRUE
10/22/2025,5:00:00 PM,Coal,11592,0.132,FALSE
10/22/2025,5:00:00 PM,Gas,32521,0.372,FALSE
